dataset_id,correlation,F1_branches,geometric_mean,him,time
real-gold-aging-hsc-old_kowalczyk,0.0268,0.0773,0.24410151076168507,0.3912,0.6696298163986493
real-gold-aging-hsc-young_kowalczyk,0.0177,1,0.5677892846276521,1,0.8481679353393611
real-gold-cell-cycle_buettner,0.0357,1,0.5315701260193229,0.322,0.8167406541134061
real-gold-cellbench-SC1_luyitian,0.1415,0.4769,0.6849909138152943,0.5601,0.8922356175866376
real-gold-cellbench-SC2_luyitian,0.1733,0.475,0.6972886893210721,0.5601,0.87238715974279
real-gold-cellbench-SC3_luyitian,0.1215,0.4764,0.6725291844400214,0.5601,0.8655612318536201
real-gold-cellbench-SC4_luyitian,0.0689,0.4762,0.6029999605176986,0.5601,0.8743827062749685
real-gold-developing-dendritic-cells_schlitzer,0.5634,1,0.8052780643807866,1,0.8674869330719672
real-gold-germline-human-both_guo,0.0705,0.4528,0.5630938359327088,0.5588,0.8087309789912824
real-gold-germline-human-female_guo,0.3888,1,0.7339574141192166,1,0.8713970880653146
real-gold-germline-human-female-weeks_li,0.0317,1,0.6445629751839606,1,0.7604149948318005
real-gold-germline-human-male_guo,NA,NA,0,NA,0
real-gold-germline-human-male-weeks_li,NA,NA,0,NA,0
real-gold-hematopoiesis-gates_olsson,NA,NA,0,NA,0
real-gold-human-embryos_petropoulos,NA,NA,0,NA,0
real-gold-macrophage-salmonella_saliba,NA,NA,0,NA,0
real-gold-mESC-differentiation_hayashi,NA,NA,0,NA,0
real-gold-mesoderm-development_loh,NA,NA,0,NA,0
real-gold-myoblast-differentiation_trapnell,NA,NA,0,NA,0
real-gold-NKT-differentiation_engel,NA,NA,0,NA,0
real-gold-pancreatic-alpha-cell-maturation_zhang,NA,NA,0,NA,0
real-gold-pancreatic-beta-cell-maturation_zhang,NA,NA,0,NA,0
real-gold-psc-astrocyte-maturation-glia_sloan,NA,NA,0,NA,0
real-gold-psc-astrocyte-maturation-neuron_sloan,NA,NA,0,NA,0
real-gold-stimulated-dendritic-cells-LPS_shalek,NA,NA,0,NA,0
real-gold-stimulated-dendritic-cells-PAM_shalek,NA,NA,0,NA,0
real-gold-stimulated-dendritic-cells-PIC_shalek,NA,NA,0,NA,0
real-silver-blastocyst-monkey_nakamura,NA,NA,0,NA,0
real-silver-bone-marrow-mesenchyme-erythrocyte-differentiation_mca,NA,NA,0,NA,0
real-silver-cell-cycle_leng,NA,NA,0,NA,0
real-silver-cortical-interneuron-differentiation_frazer,NA,NA,0,NA,0
real-silver-dentate-gyrus-neurogenesis_hochgerner,NA,NA,0,NA,0
real-silver-distal-lung-epithelium_treutlein,NA,NA,0,NA,0
real-silver-embronic-mesenchyme-neuron-differentiation_mca,NA,NA,0,NA,0
real-silver-embryonic-mesenchyme-stromal-cell-cxcl14-cxcl12-axis_mca,NA,NA,0,NA,0
real-silver-epiblast-monkey_nakamura,NA,NA,0,NA,0
real-silver-epidermis-hair-IFE_joost,NA,NA,0,NA,0
real-silver-epidermis-hair-spatial_joost,NA,NA,0,NA,0
real-silver-epidermis-hair-uHF_joost,NA,NA,0,NA,0
real-silver-fetal-liver-fetal-hematopoiesis_mca,NA,NA,0,NA,0
real-silver-fibroblast-reprogramming_treutlein,NA,NA,0,NA,0
real-silver-germline-human-female_li,NA,NA,0,NA,0
real-silver-germline-human-male_li,NA,NA,0,NA,0
real-silver-hematopoiesis-clusters_olsson,NA,NA,0,NA,0
real-silver-hepatoblast-differentiation_yang,NA,NA,0,NA,0
real-silver-ICM-monkey_nakamura,NA,NA,0,NA,0
real-silver-kidney-bursh-border-to-s1_mca,NA,NA,0,NA,0
real-silver-kidney-collecting-duct-clusters_park,NA,NA,0,NA,0
real-silver-kidney-collecting-duct-subclusters_park,NA,NA,0,NA,0
real-silver-kidney-distal-convoluted-tubule_mca,NA,NA,0,NA,0
real-silver-mammary-gland-involution-endothelial-cell-aqp1-gradient_mca,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-1,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-10,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-2,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-3,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-4,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-5,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-6,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-7,NA,NA,0,NA,0
real-silver-mouse-cell-atlas-combination-8,NA,NA,0,NA,0
real-silver-neonatal-inner-ear-all_burns,NA,NA,0,NA,0
real-silver-neonatal-inner-ear-SC-HC_burns,NA,NA,0,NA,0
real-silver-neonatal-inner-ear-TEC-HSC_burns,NA,NA,0,NA,0
real-silver-neonatal-inner-ear-TEC-SC_burns,NA,NA,0,NA,0
real-silver-neonatal-rib-cartilage_mca,NA,NA,0,NA,0
real-silver-olfactory-projection-neurons_horns,NA,NA,0,NA,0
real-silver-olfactory-projection-neurons-DA1_horns,NA,NA,0,NA,0
real-silver-olfactory-projection-neurons-DC3_VA1d_horns,NA,NA,0,NA,0
real-silver-oligodendrocyte-differentiation-clusters_marques,NA,NA,0,NA,0
real-silver-oligodendrocyte-differentiation-subclusters_marques,NA,NA,0,NA,0
real-silver-placenta-trophoblast-differentiation_mca,NA,NA,0,NA,0
real-silver-placenta-trophoblast-differentiation-invasive_mca,NA,NA,0,NA,0
real-silver-planaria-combination-1_plass,NA,NA,0,NA,0
real-silver-planaria-combination-10_plass,NA,NA,0,NA,0
real-silver-planaria-combination-11_plass,NA,NA,0,NA,0
real-silver-planaria-combination-12_plass,NA,NA,0,NA,0
real-silver-planaria-combination-13_plass,NA,NA,0,NA,0
real-silver-planaria-combination-14_plass,NA,NA,0,NA,0
real-silver-planaria-combination-2_plass,NA,NA,0,NA,0
real-silver-planaria-combination-3_plass,NA,NA,0,NA,0
real-silver-planaria-combination-4_plass,NA,NA,0,NA,0
real-silver-planaria-combination-5_plass,NA,NA,0,NA,0
real-silver-planaria-combination-6_plass,NA,NA,0,NA,0
real-silver-planaria-combination-7_plass,NA,NA,0,NA,0
real-silver-planaria-combination-8_plass,NA,NA,0,NA,0
real-silver-planaria-combination-9_plass,NA,NA,0,NA,0
real-silver-planaria-epidermis-differentiation_plass,NA,NA,0,NA,0
real-silver-planaria-full_plass,NA,NA,0,NA,0
real-silver-planaria-muscle-differentiation_plass,NA,NA,0,NA,0
real-silver-planaria-neuron-differentiation_plass,NA,NA,0,NA,0
real-silver-planaria-pair-1_plass,NA,NA,0,NA,0
real-silver-planaria-pair-10_plass,NA,NA,0,NA,0
real-silver-planaria-pair-11_plass,NA,NA,0,NA,0
real-silver-planaria-pair-12_plass,NA,NA,0,NA,0
real-silver-planaria-pair-13_plass,NA,NA,0,NA,0
real-silver-planaria-pair-14_plass,NA,NA,0,NA,0
real-silver-planaria-pair-2_plass,NA,NA,0,NA,0
real-silver-planaria-pair-3_plass,NA,NA,0,NA,0
real-silver-planaria-pair-4_plass,NA,NA,0,NA,0
real-silver-planaria-pair-5_plass,NA,NA,0,NA,0
real-silver-planaria-pair-6_plass,NA,NA,0,NA,0
real-silver-planaria-pair-7_plass,NA,NA,0,NA,0
real-silver-planaria-pair-8_plass,NA,NA,0,NA,0
real-silver-planaria-pair-9_plass,NA,NA,0,NA,0
real-silver-planaria-parenchyme-differentiation_plass,NA,NA,0,NA,0
real-silver-planaria-phagocyte-differentiation_plass,NA,NA,0,NA,0
real-silver-planaria-pharynx-differentiation_plass,NA,NA,0,NA,0
real-silver-thymus-t-cell-differentiation_mca,NA,NA,0,NA,0
real-silver-trophectoderm-monkey_nakamura,NA,NA,0,NA,0
real-silver-trophoblast-stem-cell-trophoblast-differentiation_mca,NA,NA,0,NA,0
synthetic-dyngen-1,NA,NA,0,NA,0
synthetic-dyngen-10,NA,NA,0,NA,0
synthetic-dyngen-100,NA,NA,0,NA,0
synthetic-dyngen-101,NA,NA,0,NA,0
synthetic-dyngen-102,NA,NA,0,NA,0
synthetic-dyngen-104,NA,NA,0,NA,0
synthetic-dyngen-105,NA,NA,0,NA,0
synthetic-dyngen-11,NA,NA,0,NA,0
synthetic-dyngen-110,NA,NA,0,NA,0
synthetic-dyngen-12,NA,NA,0,NA,0
synthetic-dyngen-14,NA,NA,0,NA,0
synthetic-dyngen-15,NA,NA,0,NA,0
synthetic-dyngen-2,NA,NA,0,NA,0
synthetic-dyngen-20,NA,NA,0,NA,0
synthetic-dyngen-21,NA,NA,0,NA,0
synthetic-dyngen-22,NA,NA,0,NA,0
synthetic-dyngen-24,NA,NA,0,NA,0
synthetic-dyngen-25,NA,NA,0,NA,0
synthetic-dyngen-30,NA,NA,0,NA,0
synthetic-dyngen-31,NA,NA,0,NA,0
synthetic-dyngen-32,NA,NA,0,NA,0
synthetic-dyngen-34,NA,NA,0,NA,0
synthetic-dyngen-35,NA,NA,0,NA,0
synthetic-dyngen-4,NA,NA,0,NA,0
synthetic-dyngen-40,NA,NA,0,NA,0
synthetic-dyngen-41,NA,NA,0,NA,0
synthetic-dyngen-42,NA,NA,0,NA,0
synthetic-dyngen-44,NA,NA,0,NA,0
synthetic-dyngen-45,NA,NA,0,NA,0
synthetic-dyngen-5,NA,NA,0,NA,0
synthetic-dyngen-50,NA,NA,0,NA,0
synthetic-dyngen-51,NA,NA,0,NA,0
synthetic-dyngen-52,NA,NA,0,NA,0
synthetic-dyngen-54,NA,NA,0,NA,0
synthetic-dyngen-55,NA,NA,0,NA,0
synthetic-dyngen-60,NA,NA,0,NA,0
synthetic-dyngen-61,NA,NA,0,NA,0
synthetic-dyngen-62,NA,NA,0,NA,0
synthetic-dyngen-64,NA,NA,0,NA,0
synthetic-dyngen-65,NA,NA,0,NA,0
synthetic-dyngen-70,NA,NA,0,NA,0
synthetic-dyngen-71,NA,NA,0,NA,0
synthetic-dyngen-72,NA,NA,0,NA,0
synthetic-dyngen-74,NA,NA,0,NA,0
synthetic-dyngen-75,NA,NA,0,NA,0
synthetic-dyngen-80,NA,NA,0,NA,0
synthetic-dyngen-81,NA,NA,0,NA,0
synthetic-dyngen-82,NA,NA,0,NA,0
synthetic-dyngen-84,NA,NA,0,NA,0
synthetic-dyngen-85,NA,NA,0,NA,0
synthetic-dyngen-90,NA,NA,0,NA,0
synthetic-dyngen-91,NA,NA,0,NA,0
synthetic-dyngen-92,NA,NA,0,NA,0
synthetic-dyngen-94,NA,NA,0,NA,0
synthetic-dyngen-95,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_1,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_10,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_2,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_3,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_4,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_5,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_6,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_7,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_8,NA,NA,0,NA,0
synthetic-dyntoy-bifurcating_9,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_1,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_10,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_2,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_3,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_4,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_5,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_6,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_7,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_8,NA,NA,0,NA,0
synthetic-dyntoy-binary_tree_9,NA,NA,0,NA,0
synthetic-dyntoy-connected_1,NA,NA,0,NA,0
synthetic-dyntoy-connected_10,NA,NA,0,NA,0
synthetic-dyntoy-connected_2,NA,NA,0,NA,0
synthetic-dyntoy-connected_3,NA,NA,0,NA,0
synthetic-dyntoy-connected_4,NA,NA,0,NA,0
synthetic-dyntoy-connected_5,NA,NA,0,NA,0
synthetic-dyntoy-connected_6,NA,NA,0,NA,0
synthetic-dyntoy-connected_7,NA,NA,0,NA,0
synthetic-dyntoy-connected_8,NA,NA,0,NA,0
synthetic-dyntoy-connected_9,NA,NA,0,NA,0
synthetic-dyntoy-converging_1,NA,NA,0,NA,0
synthetic-dyntoy-converging_10,NA,NA,0,NA,0
synthetic-dyntoy-converging_2,NA,NA,0,NA,0
synthetic-dyntoy-converging_3,NA,NA,0,NA,0
synthetic-dyntoy-converging_4,NA,NA,0,NA,0
synthetic-dyntoy-converging_5,NA,NA,0,NA,0
synthetic-dyntoy-converging_6,NA,NA,0,NA,0
synthetic-dyntoy-converging_7,NA,NA,0,NA,0
synthetic-dyntoy-converging_8,NA,NA,0,NA,0
synthetic-dyntoy-converging_9,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_1,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_10,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_2,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_3,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_4,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_5,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_6,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_7,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_8,NA,NA,0,NA,0
synthetic-dyntoy-cyclic_9,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_1,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_10,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_2,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_3,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_4,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_5,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_6,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_7,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_8,NA,NA,0,NA,0
synthetic-dyntoy-disconnected_9,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_1,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_10,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_2,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_3,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_4,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_5,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_6,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_7,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_8,NA,NA,0,NA,0
synthetic-dyntoy-diverging_converging_9,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_1,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_10,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_2,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_3,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_4,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_5,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_6,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_7,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_8,NA,NA,0,NA,0
synthetic-dyntoy-diverging_with_loops_9,NA,NA,0,NA,0
synthetic-dyntoy-linear_1,NA,NA,0,NA,0
synthetic-dyntoy-linear_10,NA,NA,0,NA,0
synthetic-dyntoy-linear_2,NA,NA,0,NA,0
synthetic-dyntoy-linear_3,NA,NA,0,NA,0
synthetic-dyntoy-linear_4,NA,NA,0,NA,0
synthetic-dyntoy-linear_5,NA,NA,0,NA,0
synthetic-dyntoy-linear_6,NA,NA,0,NA,0
synthetic-dyntoy-linear_7,NA,NA,0,NA,0
synthetic-dyntoy-linear_8,NA,NA,0,NA,0
synthetic-dyntoy-linear_9,NA,NA,0,NA,0
synthetic-dyntoy-looping_1,NA,NA,0,NA,0
synthetic-dyntoy-looping_10,NA,NA,0,NA,0
synthetic-dyntoy-looping_2,NA,NA,0,NA,0
synthetic-dyntoy-looping_3,NA,NA,0,NA,0
synthetic-dyntoy-looping_4,NA,NA,0,NA,0
synthetic-dyntoy-looping_5,NA,NA,0,NA,0
synthetic-dyntoy-looping_6,NA,NA,0,NA,0
synthetic-dyntoy-looping_7,NA,NA,0,NA,0
synthetic-dyntoy-looping_8,NA,NA,0,NA,0
synthetic-dyntoy-looping_9,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_1,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_10,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_2,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_3,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_4,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_5,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_6,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_7,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_8,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_9,NA,NA,0,NA,0
synthetic-dyntoy-tree_1,NA,NA,0,NA,0
synthetic-dyntoy-tree_10,NA,NA,0,NA,0
synthetic-dyntoy-tree_2,NA,NA,0,NA,0
synthetic-dyntoy-tree_3,NA,NA,0,NA,0
synthetic-dyntoy-tree_4,NA,NA,0,NA,0
synthetic-dyntoy-tree_5,NA,NA,0,NA,0
synthetic-dyntoy-tree_6,NA,NA,0,NA,0
synthetic-dyntoy-tree_7,NA,NA,0,NA,0
synthetic-dyntoy-tree_8,NA,NA,0,NA,0
synthetic-dyntoy-tree_9,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_1,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_2,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_3,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_4,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_5,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_6,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_7,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_8,NA,NA,0,NA,0
synthetic-prosstt-binary_tree_1,NA,NA,0,NA,0
synthetic-prosstt-binary_tree_3,NA,NA,0,NA,0
synthetic-prosstt-binary_tree_6,NA,NA,0,NA,0
synthetic-prosstt-linear_1,NA,NA,0,NA,0
synthetic-prosstt-linear_3,NA,NA,0,NA,0
synthetic-prosstt-linear_6,NA,NA,0,NA,0
synthetic-prosstt-multifurcating_3,NA,NA,0,NA,0
synthetic-prosstt-multifurcating_6,NA,NA,0,NA,0
synthetic-prosstt-tree_1,NA,NA,0,NA,0
synthetic-prosstt-tree_3,NA,NA,0,NA,0
synthetic-prosstt-tree_6,NA,NA,0,NA,0
synthetic-splatter-bifurcating_1,NA,NA,0,NA,0
synthetic-splatter-bifurcating_10,NA,NA,0,NA,0
synthetic-splatter-bifurcating_2,NA,NA,0,NA,0
synthetic-splatter-bifurcating_3,NA,NA,0,NA,0
synthetic-splatter-bifurcating_4,NA,NA,0,NA,0
synthetic-splatter-bifurcating_5,NA,NA,0,NA,0
synthetic-splatter-bifurcating_7,NA,NA,0,NA,0
synthetic-splatter-binary_tree_1,NA,NA,0,NA,0
synthetic-splatter-binary_tree_10,NA,NA,0,NA,0
synthetic-splatter-binary_tree_2,NA,NA,0,NA,0
synthetic-splatter-binary_tree_3,NA,NA,0,NA,0
synthetic-splatter-binary_tree_4,NA,NA,0,NA,0
synthetic-splatter-binary_tree_5,NA,NA,0,NA,0
synthetic-splatter-binary_tree_7,NA,NA,0,NA,0
synthetic-splatter-linear_1,NA,NA,0,NA,0
synthetic-splatter-linear_10,NA,NA,0,NA,0
synthetic-splatter-linear_2,NA,NA,0,NA,0
synthetic-splatter-linear_3,NA,NA,0,NA,0
synthetic-splatter-linear_4,NA,NA,0,NA,0
synthetic-splatter-linear_5,NA,NA,0,NA,0
synthetic-splatter-linear_7,NA,NA,0,NA,0
synthetic-splatter-multifurcating_1,NA,NA,0,NA,0
synthetic-splatter-multifurcating_10,NA,NA,0,NA,0
synthetic-splatter-multifurcating_2,NA,NA,0,NA,0
synthetic-splatter-multifurcating_3,NA,NA,0,NA,0
synthetic-splatter-multifurcating_4,NA,NA,0,NA,0
synthetic-splatter-multifurcating_5,NA,NA,0,NA,0
synthetic-splatter-multifurcating_7,NA,NA,0,NA,0
synthetic-splatter-tree_1,NA,NA,0,NA,0
synthetic-splatter-tree_10,NA,NA,0,NA,0
synthetic-splatter-tree_2,NA,NA,0,NA,0
synthetic-splatter-tree_3,NA,NA,0,NA,0
synthetic-splatter-tree_4,NA,NA,0,NA,0
synthetic-splatter-tree_5,NA,NA,0,NA,0
synthetic-splatter-tree_7,NA,NA,0,NA,0
